DEVICEID||','||CONTRACTID||','||'"'||DESCRIPTION||'"'||','||LATITUDE||','||LONGITUDE                                                                                                                     
516,401DE0060DEC,"W OF ALLEN ROAD",43.72922321,-79.45072368                                                                                                                                                
517,401DE0050DEC,"W OF DUFFERIN",43.72748642,-79.45881504                                                                                                                                                  
518,401DE0040DEC,"W OF DUFFERIN",43.72604937,-79.46539216                                                                                                                                                  
519,401DE0030DEC,"E OF KEELE",43.72434802,-79.47310418                                                                                                                                                     
520,401DE0020DEC,"E OF KEELE",43.72310617,-79.47801654                                                                                                                                                     
521,401DE0010DEC,"AT KEELE",43.72157548,-79.48448851                                                                                                                                                       
522,401DW0010DEC,"W OF KEELE",43.7197938,-79.49187078                                                                                                                                                      
523,401DW0020DEC,"E OF JANE",43.71783084,-79.50000089                                                                                                                                                      
524,401DW0030DEC,"E OF 400",43.71731318,-79.50827758                                                                                                                                                       
525,401DW0040DEC,"E OF 400",43.71655896,-79.51554723                                                                                                                                                       
526,401DW0050DEC,"W OF 400",43.71577225,-79.52233546                                                                                                                                                       
527,401DW0060DEC,"E OF WESTON",43.71425514,-79.53072823                                                                                                                                                    
528,401DW0070DEC,"W OF WESTON",43.71279058,-79.53718411                                                                                                                                                    
529,401DW0080DEC,"W OF WESTON",43.71123916,-79.54363467                                                                                                                                                    
530,401DW0090DEC,"E OF ISLINGTON",43.70973598,-79.55004137                                                                                                                                                 
531,401DW0100DEC,"W OF ISLINGTON",43.70795449,-79.5539574                                                                                                                                                  
532,401DW0110DEC,"E OF KIPLING",43.70275719,-79.55931063                                                                                                                                                   
533,401DW0120DEC,"W. OF RENFORTH",43.66500409,-79.60025563                                                                                                                                                 
534,401DW0130DEC,"E. OF ETOBICOKE CREEK",43.66231504,-79.6072242                                                                                                                                           
535,401DW0140DEC,"AT BASKETWEAVE",43.65866183,-79.6135201                                                                                                                                                  
536,401DW0150DEC,"NEAR ETOBICOKE CREEK",43.65547848,-79.62007965                                                                                                                                           
537,401DW0160DEC,"E. OF DIXIE",43.65255571,-79.62620725                                                                                                                                                    
538,401DW0170DEC,"E. OF DIXIE",43.64972534,-79.63259749                                                                                                                                                    
539,401DW0180DEC,"AT DIXIE",43.64708284,-79.63935294                                                                                                                                                       
540,401DW0190DEC,"E. OF TOMKEN",43.64481301,-79.64499329                                                                                                                                                   
541,401DW0200DEC,"AT TOMKEN",43.6417964,-79.65116282                                                                                                                                                       
542,401DW0210DEC,"AT HWY 403/410",43.63910008,-79.65794076                                                                                                                                                 
543,401DE0610DEE,"BROCK ROAD",43.83601959,-79.07655943                                                                                                                                                     
544,401DE0600DEE,"E. OF LIVERPOOL",43.83410969,-79.0806915                                                                                                                                                 
545,401DE0590DEE,"LIVERPOOL ROAD",43.82990555,-79.08980633                                                                                                                                                 
546,401DE0580DEE,"CN RAIL",43.82607749,-79.09808555                                                                                                                                                        
547,401DE0570DEE,"E. OF WHITES",43.82355571,-79.10353162                                                                                                                                                   
548,401DE0560DEE,"E. OF WHITES",43.81895721,-79.11095853                                                                                                                                                   
549,401DE0550DEE,"WHITES ROAD",43.81410434,-79.11826783                                                                                                                                                    
550,401DE0540DEE,"ROUGHMOUNT",43.80960489,-79.1254955                                                                                                                                                      
551,401DE0530DEE,"W. OF ROUGHMOUNT",43.80515781,-79.13302921                                                                                                                                               
552,401DE0520DEE,"E. OF PORT UNION",43.80138804,-79.13896399                                                                                                                                               
553,401DE0510DEE,"PORT UNION",43.79704075,-79.14545051                                                                                                                                                     
554,401DE0500DEE,"KINGSTON ROAD",43.79547364,-79.15102816                                                                                                                                                  
555,401DE0490DEE,"KINGSTON ROAD",43.79578445,-79.15533134                                                                                                                                                  
556,401DE0480DEE,"E. OF MEADOWVALE",43.79839651,-79.16305108                                                                                                                                               
557,401DE0470DEE,"AT MEADOWVALE",43.79988389,-79.1694602                                                                                                                                                   
558,401DE0460DEE,"W. OF MEADOWVALE",43.79923761,-79.17692095                                                                                                                                               
559,401DE0450DEE,"E. OF COLLINS",43.79824528,-79.18372278                                                                                                                                                  
560,401DE0440DEE,"COLLINS ROAD",43.7975134,-79.18884194                                                                                                                                                    
561,401DE0430DEE,"AT MORNINGSIDE",43.79660467,-79.19515518                                                                                                                                                 
562,401DE0420DEE,"E. OF NEILSON",43.79553869,-79.20254036                                                                                                                                                  
563,401DE0410DEE,"E. OF NEILSON",43.79465568,-79.20867286                                                                                                                                                  
564,401DE0400DEE,"E. OF NEILSON",43.79370065,-79.21480686                                                                                                                                                  
565,401DE0390DEE,"AT NEILSON",43.79199617,-79.22014101                                                                                                                                                     
566,401DE0380DEE,"E. OF MARKHAM",43.78936554,-79.22487639                                                                                                                                                  
567,401DE0370DEE,"E. OF MARKHAM",43.78670459,-79.23119493                                                                                                                                                  
568,401DE0360DEE,"AT MARKHAM",43.78508698,-79.23656873                                                                                                                                                     
569,401DE0350DEE,"E. OF MCCOWAN",43.78364801,-79.24206944                                                                                                                                                  
570,401DE0340DEE,"E. OF MCCOWAN",43.78218699,-79.24906281                                                                                                                                                  
571,401DE0330DEE,"AT McCOWAN",43.78077251,-79.25632859                                                                                                                                                     
572,401DE0320DEE,"E. OF BRIMLEY",43.77940385,-79.26343661                                                                                                                                                  
573,401DE0310DEE,"E. OF MIDLAND",43.77797774,-79.27076592                                                                                                                                                  
574,401DE0300DEE,"E. OF KENNEDY",43.77620986,-79.27874667                                                                                                                                                  
575,401DE0290DEE,"W. OF KENNEDY",43.77451435,-79.28600885                                                                                                                                                  
576,401DE0280DEE,"E OF BIRCHMOUNT",43.77269646,-79.2937789                                                                                                                                                 
577,401DE0270DEE,"E of Warden",43.77064292,-79.30252212                                                                                                                                                    
578,401DE0260DEE,"E of Victoria Park",43.76867225,-79.31125479                                                                                                                                             
579,401DE0250DEE,"E of Hwy 404/DVP",43.76817246,-79.32100882                                                                                                                                               
580,401DE0240DEE,"E of Hwy 404/DVP",43.76802314,-79.32830985                                                                                                                                               
581,401DE0230DEE,"E of Hwy 404/DVP",43.76772129,-79.33390714                                                                                                                                               
582,401DE0220DEE,"E of Don Mills",43.76729492,-79.34109758                                                                                                                                                 
583,401DE0210DEE,"E of Don Mills",43.76682454,-79.34871507                                                                                                                                                 
584,401DE0200DEE,"E of Leslie",43.7664929,-79.35630086                                                                                                                                                     
585,401DE0190DEE,"E of Bayview",43.76605381,-79.36592272                                                                                                                                                   
586,401DE0180DEE,"E OF Bayview",43.76567937,-79.37312157                                                                                                                                                   
587,401DE0170DEE,"E of Bayview",43.76421427,-79.38194434                                                                                                                                                   
588,401DE0160DEE,"W of Bayview",43.76265876,-79.38933646                                                                                                                                                   
589,401DE0150DEE,"W of Bayview",43.7618299,-79.39296084                                                                                                                                                    
590,401DE0140DEE,"E of Yonge",43.75928953,-79.39895791                                                                                                                                                     
591,401DE0130DEE,"AT YONGE",43.75365239,-79.40790939                                                                                                                                                       
592,401DE0120DEE,"W OF YONGE",43.74882229,-79.41515428                                                                                                                                                     
593,401DE0110DEE,"E OF AVENUE ROAD",43.74528161,-79.41855261                                                                                                                                               
594,401DE0100DEE,"W OF AVENUE ROAD",43.74105502,-79.42514762                                                                                                                                               
595,401DE0090DEE,"E OF BATHURST",43.73696739,-79.43198772                                                                                                                                                  
596,401DE0080DEE,"W OF BATHURST",43.73369514,-79.43753842                                                                                                                                                  
597,401DE0070DEE,"E OF ALLEN ROAD",43.73096414,-79.44360364                                                                                                                                                
598,401DE0060DEE,"E OF ALLEN RD",43.72938706,-79.45081655                                                                                                                                                  
599,401DE0050DEE,"W OF ALLEN RD",43.7276617,-79.45889534                                                                                                                                                   
600,401DE0040DEE,"W OF DUFFERIN",43.72625136,-79.46547597                                                                                                                                                  
601,401DE0030DEE,"W OF DUFFERIN",43.72452406,-79.473189                                                                                                                                                    
602,401DE0020DEE,"E OF KEELE",43.72332674,-79.47813782                                                                                                                                                     
603,401DE0010DEE,"W OF KEELE",43.72174103,-79.48456517                                                                                                                                                     
604,401DW0010DEE,"W OF KEELE",43.71999439,-79.4919392                                                                                                                                                      
605,401DW0020DEE,"E OF JANE",43.71849792,-79.50063193                                                                                                                                                      
606,401DW0030DEE,"E OF 400",43.71746808,-79.50902276                                                                                                                                                       
607,401DW0040DEE,"E OF 400",43.71673243,-79.51558793                                                                                                                                                       
608,401DW0050DEE,"W OF 400",43.71597305,-79.52272274                                                                                                                                                       
609,401DW0060DEE,"E OF WESTON",43.71445447,-79.53082613                                                                                                                                                    
610,401DW0070DEE,"W OF WESTON",43.71295086,-79.53725906                                                                                                                                                    
611,401DW0080DEE,"W OF WESTON",43.71140252,-79.54372168                                                                                                                                                    
612,401DW0090DEE,"E OF ISLINGTON",43.70988951,-79.55011777                                                                                                                                                 
613,401DW0100DEE,"E OF KIPLING",43.70709596,-79.55570178                                                                                                                                                   
614,401DW0110DEE,"E OF KIPLING",43.70284097,-79.55949895                                                                                                                                                   
615,401DW0200DEE,"AT RENFORTH",43.66800263,-79.59273759                                                                                                                                                    
616,401DW0210DEE,"W. OF RENFORTH",43.66520544,-79.60038741                                                                                                                                                 
